time,ax,ay,az
2.466,-0.33,-0.24,0.01
2.471,-0.33,-0.22,0.01
2.476,-0.29,-0.19,0.02
2.492,-0.30,-0.19,0.05
2.493,-0.35,-0.23,0.05
2.494,-0.28,-0.19,-0.03
2.497,-0.36,-0.13,-0.01
2.501,-0.31,-0.08,0.11
2.506,-0.22,-0.13,0.13
2.512,-0.16,-0.13,0.17
2.517,-0.06,-0.26,0.28
2.521,0.06,-0.26,0.21
2.526,0.04,-0.38,0.18
2.531,-0.06,-0.45,0.31
2.536,-0.09,-0.41,0.26
2.542,-0.05,-0.46,0.22
2.547,-0.11,-0.39,0.18
2.552,-0.22,-0.36,0.17
2.557,-0.25,-0.33,0.11
2.562,-0.22,-0.34,0.10
2.573,-0.21,-0.31,0.08
2.574,-0.19,-0.21,-0.05
2.577,-0.20,-0.26,-0.11
2.582,-0.18,-0.27,-0.11
2.587,-0.16,-0.24,-0.10
2.592,-0.09,-0.24,-0.07
2.597,-0.15,-0.22,-0.12
2.602,-0.18,-0.16,-0.14
2.607,-0.22,-0.25,-0.19
2.612,-0.20,-0.29,-0.22
2.617,-0.18,-0.12,-0.25
2.622,-0.23,-0.11,-0.26
2.627,-0.23,-0.14,-0.21
2.632,-0.21,-0.14,-0.22
2.637,-0.22,-0.06,-0.25
2.642,-0.27,-0.10,-0.23
2.647,-0.30,-0.16,-0.23
2.653,-0.29,-0.13,-0.23
2.657,-0.29,-0.08,-0.23
2.662,-0.30,-0.13,-0.12
2.668,-0.32,-0.15,-0.05
2.672,-0.37,-0.15,-0.03
2.678,-0.37,-0.23,0.00
2.690,-0.35,-0.21,0.15
2.691,-0.36,-0.22,0.13
2.695,-0.34,-0.22,0.08
2.705,-0.35,-0.23,0.17
2.706,-0.38,-0.26,0.19
2.707,-0.39,-0.26,0.18
2.713,-0.39,-0.28,0.23
2.718,-0.39,-0.30,0.20
2.723,-0.34,-0.30,0.21
2.728,-0.36,-0.29,0.25
2.733,-0.43,-0.20,0.21
2.738,-0.56,-0.08,0.21
2.743,-0.66,0.02,0.19
2.748,-0.70,0.13,0.17
2.753,-0.64,0.08,0.21
2.758,-0.48,-0.11,0.23
2.763,-0.31,-0.21,0.28
2.768,-0.14,-0.37,0.34
2.773,0.02,-0.47,0.43
2.778,0.20,-0.50,0.53
2.785,0.31,-0.58,0.56
2.788,0.43,-0.52,0.55
2.793,0.62,-0.44,0.49
2.798,0.75,-0.36,0.50
2.803,0.77,-0.32,0.45
2.808,0.78,-0.27,0.33
2.813,0.75,-0.21,0.26
2.818,0.70,-0.12,0.11
2.823,0.60,-0.11,-0.04
2.828,0.57,-0.17,-0.09
2.833,0.60,-0.19,-0.14
2.838,0.62,-0.23,-0.11
2.843,0.67,-0.29,-0.10
2.848,0.69,-0.32,-0.05
2.853,0.66,-0.35,0.01
2.858,0.65,-0.32,0.05
2.863,0.61,-0.27,0.21
2.875,0.61,-0.25,0.30
2.876,0.54,-0.18,0.32
2.879,0.49,-0.18,0.33
2.885,0.44,-0.19,0.42
2.889,0.37,-0.21,0.41
2.894,0.28,-0.17,0.35
2.899,0.13,-0.17,0.38
2.904,0.03,-0.21,0.44
2.909,-0.05,-0.22,0.48
2.914,-0.09,-0.24,0.42
2.919,-0.17,-0.30,0.35
2.924,-0.18,-0.28,0.32
2.929,-0.27,-0.24,0.34
2.934,-0.37,-0.18,0.33
2.939,-0.42,-0.14,0.24
2.944,-0.43,-0.05,0.23
2.950,-0.46,-0.09,0.21
2.954,-0.47,-0.09,0.12
2.959,-0.58,-0.08,0.10
2.964,-0.59,-0.07,0.17
2.969,-0.57,0.01,0.05
2.974,-0.66,-0.02,0.00
2.979,-0.74,-0.02,0.03
2.993,-0.77,-0.06,0.01
2.994,-0.84,-0.08,0.01
2.994,-0.83,-0.11,-0.04
3.004,-0.80,-0.23,-0.09
3.005,-0.90,-0.23,-0.10
3.009,-0.94,-0.24,-0.15
3.014,-0.85,-0.26,-0.18
3.020,-0.82,-0.36,-0.32
3.024,-0.83,-0.38,-0.26
3.029,-0.79,-0.39,-0.22
3.034,-0.66,-0.28,-0.17
3.039,-0.65,-0.20,-0.23
3.044,-0.65,-0.29,-0.23
3.050,-0.77,-0.28,-0.29
3.055,-0.64,-0.25,-0.27
3.060,-0.66,-0.29,-0.14
3.065,-0.69,-0.21,-0.15
3.070,-0.72,-0.24,-0.05
3.075,-0.65,-0.33,-0.17
3.080,-0.62,-0.26,-0.13
3.086,-0.66,-0.28,-0.12
3.090,-0.61,-0.21,-0.07
3.095,-0.60,-0.18,-0.01
3.100,-0.61,-0.16,-0.05
3.107,-0.58,-0.13,-0.04
3.110,-0.60,-0.18,-0.04
3.115,-0.53,-0.17,0.02
3.120,-0.42,-0.12,-0.01
3.125,-0.43,-0.17,-0.12
3.130,-0.41,-0.15,-0.05
3.135,-0.42,-0.09,0.03
3.140,-0.39,-0.19,0.13
3.145,-0.38,-0.17,-0.10
3.150,-0.36,-0.20,0.02
3.155,-0.26,-0.15,-0.02
3.160,-0.33,-0.16,-0.11
3.165,-0.24,-0.27,-0.05
3.170,-0.42,-0.11,-0.28
3.175,-0.28,-0.16,-0.86
3.181,-0.13,0.02,-1.66
3.185,-0.07,-0.01,-2.52
3.190,-0.09,-0.08,-2.67
3.195,-0.35,-0.20,-2.21
3.201,-0.53,-0.54,-1.26
3.206,-0.61,-0.72,-0.41
3.211,-0.63,-0.64,0.40
3.216,-0.54,-0.47,1.99
3.216,-0.78,0.68,8.39
3.221,-0.54,1.18,7.72
3.226,0.12,1.22,5.62
3.231,-0.32,1.11,4.21
3.236,-1.08,0.59,1.12
3.241,-1.27,0.08,-0.67
3.246,-1.41,-0.42,-1.00
3.251,-1.12,-0.74,-1.01
3.256,-0.85,-0.97,-1.72
3.261,-0.39,-1.14,-2.56
3.266,-0.23,-1.12,-2.67
3.271,-0.19,-1.11,-2.31
3.276,-0.04,-0.82,-2.00
3.281,0.17,-0.59,-1.69
3.290,0.24,-0.38,-1.00
3.291,0.37,-0.33,-0.54
3.296,0.41,-0.29,-0.27
3.301,0.26,-0.23,0.06
3.306,0.32,-0.46,0.22
3.311,0.36,-0.67,0.27
3.316,0.26,-0.83,0.38
3.322,0.14,-0.80,0.47
3.330,0.08,-0.68,0.48
3.332,0.06,-0.54,0.67
3.336,0.03,-0.44,0.73
3.341,0.12,-0.23,0.85
3.346,0.11,-0.10,0.85
3.352,0.13,-0.03,0.81
3.357,0.21,0.04,0.69
3.362,0.23,0.04,0.68
3.367,0.16,0.10,0.75
3.372,0.16,0.08,0.68
3.376,0.15,0.05,0.74
3.381,0.11,0.02,0.71
3.399,-0.00,-0.04,0.66
3.399,-0.15,-0.06,0.57
3.400,-0.22,-0.12,0.50
3.402,-0.31,-0.16,0.34
3.407,-0.30,-0.14,0.08
3.412,-0.26,-0.17,-0.07
3.417,-0.25,-0.18,-0.30
3.422,-0.24,-0.17,-0.47
3.427,-0.14,-0.10,-0.54
3.432,-0.04,-0.09,-0.55
3.437,-0.01,-0.05,-0.53
3.442,-0.14,0.01,-0.48
